Method,Size,Threads,Time,Speedup,Efficiency
Sequential,100,1,0.000092,1.00,1.00
OpenMP,100,3,0.001312,0.07,0.02
Pthread,100,3,0.006847,0.01,0.00
OpenMP,100,5,0.001900,0.05,0.01
Pthread,100,5,0.013163,0.01,0.00
OpenMP,100,7,0.006836,0.01,0.00
Pthread,100,7,0.016165,0.01,0.00
OpenMP,100,9,0.006786,0.01,0.00
Pthread,100,9,0.019728,0.00,0.00
OpenMP,100,11,0.007806,0.01,0.00
Pthread,100,11,0.022701,0.00,0.00
Sequential,200,1,0.000928,1.00,1.00
OpenMP,200,3,0.003312,0.28,0.09
Pthread,200,3,0.018589,0.05,0.02
OpenMP,200,5,0.008358,0.11,0.02
Pthread,200,5,0.024540,0.04,0.01
OpenMP,200,7,0.011534,0.08,0.01
Pthread,200,7,0.030103,0.03,0.00
OpenMP,200,9,0.013414,0.07,0.01
Pthread,200,9,0.033713,0.03,0.00
OpenMP,200,11,0.018143,0.05,0.00
Pthread,200,11,0.039770,0.02,0.00
Sequential,500,1,0.010859,1.00,1.00
OpenMP,500,3,0.015333,0.71,0.24
Pthread,500,3,0.047356,0.23,0.08
OpenMP,500,5,0.024895,0.44,0.09
Pthread,500,5,0.062535,0.17,0.03
OpenMP,500,7,0.040731,0.27,0.04
Pthread,500,7,0.075594,0.14,0.02
OpenMP,500,9,0.042145,0.26,0.03
Pthread,500,9,0.085611,0.13,0.01
OpenMP,500,11,0.053512,0.20,0.02
Pthread,500,11,0.098445,0.11,0.01
Sequential,1000,1,0.083361,1.00,1.00
OpenMP,1000,3,0.072747,1.15,0.38
Pthread,1000,3,0.125483,0.66,0.22
OpenMP,1000,5,0.078644,1.06,0.21
Pthread,1000,5,0.148170,0.56,0.11
OpenMP,1000,7,0.099087,0.84,0.12
Pthread,1000,7,0.169448,0.49,0.07
OpenMP,1000,9,0.112200,0.74,0.08
Pthread,1000,9,0.192346,0.43,0.05
OpenMP,1000,11,0.134541,0.62,0.06
Pthread,1000,11,0.216509,0.39,0.04
